city,location,area,no._of_bedrooms,price
hyderabad,Kondapur,1165,2.0,72.4
hyderabad,East Marredpally,1670,3.0,100.0
hyderabad,Hitech City,1350,3.0,130.0
hyderabad,Sri Nagar Colony,4780,4.0,430.0
hyderabad,Serilingampally,1836,3.0,89.0
hyderabad,West Marredpally,1970,3.0,150.0
hyderabad,West Marredpally,1970,3.0,150.0
hyderabad,Kukatpally,2000,3.0,120.0
hyderabad,Kukatpally,2000,3.0,120.0
hyderabad,Kukatpally,2000,3.0,120.0
hyderabad,Kukatpally,2000,3.0,120.0
hyderabad,Kukatpally,2000,3.0,120.0
hyderabad,Kukatpally,2000,3.0,120.0
hyderabad,Kondapur,1210,2.0,77.44
hyderabad,Kondapur,1535,3.0,97.6
hyderabad,Kondapur,1315,2.0,85.0
hyderabad,AS Rao Nagar,680,1.0,25.0
hyderabad,Malkajgiri,1200,2.0,82.0
hyderabad,Malkajgiri,1200,2.0,82.0
hyderabad,Malkajgiri,1200,2.0,82.0
hyderabad,Malkajgiri,1200,2.0,82.0
hyderabad,Malkajgiri,1200,2.0,82.0
hyderabad,Malkajgiri,1200,2.0,82.0
hyderabad,Malkajgiri,1200,2.0,82.0
hyderabad,Malkajgiri,1200,2.0,82.0
hyderabad,Malkajgiri,1200,2.0,82.0
hyderabad,Malkajgiri,1200,2.0,82.0
hyderabad,Kokapet,1735,3.0,108.0
hyderabad,Jubilee Hills,2500,3.0,275.0
hyderabad,Kondapur,3959,4.0,350.0
hyderabad,Narsingi,1889,3.0,98.22
hyderabad,Kondapur,4500,4.0,300.0
hyderabad,Jubilee Hills,2500,3.0,275.0
hyderabad,Alwal,1220,2.0,48.8
hyderabad,Miyapur,1920,3.0,99.84
hyderabad,West Marredpally,2700,4.0,250.0
hyderabad,Mettuguda,1300,3.0,54.0
hyderabad,Banjara Hills,2100,3.0,150.0
hyderabad,Miyapur,1920,3.0,99.84
hyderabad,Miyapur,1925,3.0,100.0
hyderabad,Kondapur,1885,2.0,118.0
hyderabad,Gajularamaram,1010,2.0,45.42
hyderabad,Kukatpally,1695,3.0,109.0
hyderabad,Kukatpally,1090,2.0,70.98999
hyderabad,Jubilee Hills,3100,3.0,460.0
hyderabad,Jubilee Hills,2200,3.0,198.0
hyderabad,Kondapur,1521,3.0,76.0
hyderabad,Kokapet,2490,3.0,180.0
hyderabad,Narsingi,1675,3.0,123.0
hyderabad,Narsingi,1675,3.0,123.0
hyderabad,Nizampet,1260,2.0,55.0
hyderabad,Nizampet,1105,2.0,37.0
hyderabad,Narsingi,1675,3.0,123.0
hyderabad,Narsingi,1675,3.0,123.0
hyderabad,Narsingi,1675,3.0,123.0
hyderabad,Narsingi,1675,3.0,123.0
hyderabad,Nizampet,1200,2.0,48.5
hyderabad,Nizampet,1200,2.0,48.5
hyderabad,Nizampet,1200,2.0,48.5
hyderabad,Nizampet,1200,2.0,48.5
hyderabad,Nizampet,1200,2.0,48.5
hyderabad,Begumpet,900,2.0,45.0
hyderabad,Malkajgiri,1710,3.0,76.0
hyderabad,Sri Nagar Colony,1242,3.0,86.0
hyderabad,Malkajgiri,1705,3.0,75.0
hyderabad,Malkajgiri,1050,2.0,52.0
hyderabad,Mehdipatnam,1225,3.0,57.0
hyderabad,Gajularamaram,1555,3.0,69.31
hyderabad,Venkat Nagar Colony,1675,3.0,108.0
hyderabad,Kukatpally,1695,3.0,109.0
hyderabad,Kokapet,1945,3.0,130.0
hyderabad,Nizampet,1000,2.0,36.5
hyderabad,Hitech City,1150,2.0,86.25
hyderabad,Kondakal,1330,3.0,75.0
hyderabad,Kondapur,2250,3.0,200.0
hyderabad,Tellapur,2240,3.0,100.0
hyderabad,Banjara Hills,4500,4.0,450.0
hyderabad,Banjara Hills,4500,4.0,450.0
hyderabad,Banjara Hills,4500,4.0,450.0
hyderabad,Gajularamaram,800,2.0,33.0
hyderabad,Gajularamaram,800,2.0,33.0
hyderabad,Gajularamaram,800,2.0,33.0
hyderabad,Gajularamaram,800,2.0,33.0
hyderabad,Chandanagar,1150,2.0,56.35
hyderabad,Nanakramguda,1840,3.0,129.0
hyderabad,Gopanpally,1560,3.0,78.0
hyderabad,Serilingampally,1300,2.0,63.0
hyderabad,Somajiguda,3200,4.0,280.0
hyderabad,Banjara Hills,2950,3.0,300.0
hyderabad,Banjara Hills,2950,3.0,300.0
hyderabad,Gachibowli,1699,4.0,125.0
hyderabad,Nagole,1254,2.0,65.83
hyderabad,Nagole,1710,3.0,89.77
hyderabad,Kukatpally,4067,4.0,355.0
hyderabad,Uppal Kalan,1320,2.0,75.0
hyderabad,Puppalaguda,1605,3.0,70.0
hyderabad,Madhapur,2120,3.0,145.0
hyderabad,Nallagandla Gachibowli,1860,3.0,135.0
hyderabad,Nallagandla Gachibowli,1860,3.0,135.0
hyderabad,Miyapur,1550,3.0,89.9
hyderabad,Hitech City,3090,4.0,275.0
hyderabad,Gachibowli,6718,5.0,664.0
hyderabad,Kondapur,1195,2.0,75.0
hyderabad,AS Rao Nagar,1230,3.0,57.0
hyderabad,Banjara Hills,2956,4.0,330.0
hyderabad,Banjara Hills,2956,4.0,330.0
hyderabad,LB Nagar,1076,2.0,55.0
hyderabad,Bolarum,842,2.0,35.78
hyderabad,Miyapur,1200,2.0,78.0
hyderabad,Jubilee Hills,4500,4.0,520.0
hyderabad,Jubilee Hills,4500,4.0,520.0
hyderabad,Jubilee Hills,3600,4.0,400.0
hyderabad,Jubilee Hills,3600,4.0,400.0
hyderabad,Banjara Hills,3500,3.0,367.0
hyderabad,Banjara Hills,3500,3.0,367.0
hyderabad,Madhapur,1150,2.0,86.0
hyderabad,Hitech City,1150,2.0,90.0
hyderabad,Hitech City,1150,2.0,90.0
hyderabad,Nanakramguda,1245,2.0,98.77
hyderabad,Nanakramguda,1600,3.0,130.0
hyderabad,Nanakramguda,2270,3.0,188.0
hyderabad,Manikonda,1200,2.0,60.0
hyderabad,Puppalaguda,1418,3.0,70.0
hyderabad,Miyapur,1920,3.0,99.84
hyderabad,Miyapur,1925,3.0,100.0
hyderabad,Miyapur,1905,3.0,99.06
hyderabad,Gachibowli,850,2.0,55.0
hyderabad,Nizampet,1940,3.0,80.0
hyderabad,Hitech City,1150,2.0,86.0
hyderabad,Kukatpally,1730,3.0,111.0
hyderabad,Kukatpally,1730,3.0,111.0
hyderabad,Mehdipatnam,1050,2.0,42.0
hyderabad,Mehdipatnam,1050,2.0,42.0
hyderabad,Kondapur,1908,3.0,145.0
hyderabad,Kukatpally,1090,2.0,70.98999
hyderabad,Bachupally,1905,3.0,89.53
hyderabad,Bachupally,1675,3.0,78.72
hyderabad,Bachupally,1615,3.0,75.9
hyderabad,Bachupally,1160,2.0,54.52
hyderabad,Bachupally,1800,3.0,84.59
hyderabad,Bachupally,1200,2.0,56.4
hyderabad,Mallapur,908,2.0,45.0
hyderabad,Kukatpally,1100,2.0,48.3
hyderabad,Mehdipatnam,1380,2.0,49.0
hyderabad,Hitech City,970,2.0,60.0
hyderabad,Mallapur,1160,2.0,45.0
hyderabad,Masab Tank,840,2.0,42.99
hyderabad,Zamistanpur,1100,2.0,47.5
hyderabad,Madhura Nagar,931,2.0,42.0
hyderabad,Jubilee Hills,1670,3.0,125.0
hyderabad,Kukatpally,2000,3.0,120.0
hyderabad,Kukatpally,2000,3.0,120.0
hyderabad,Miyapur,1554,3.0,82.98999
hyderabad,Miyapur,1650,3.0,88.98
hyderabad,Miyapur,1554,3.0,79.98999
hyderabad,Jubilee Hills,1900,3.0,230.0
hyderabad,Jubilee Hills,1900,3.0,229.0
hyderabad,Jubilee Hills,1900,3.0,230.0
hyderabad,Jubilee Hills,1900,3.0,230.0
hyderabad,Kukatpally,1740,3.0,145.0
hyderabad,Madhapur,3145,3.0,200.0
hyderabad,Beeramguda,963,2.0,28.0
hyderabad,Ghansi Bazaar,909,3.0,35.0
hyderabad,Chintalakunta,850,2.0,35.0
hyderabad,Kukatpally,1730,3.0,113.99999
hyderabad,Gajularamaram,1555,3.0,69.31
hyderabad,Gajularamaram,1180,2.0,52.56
hyderabad,Kukatpally,1675,3.0,111.0
hyderabad,Nallakunta,845,2.0,53.0
hyderabad,Bowenpally,1100,2.0,45.0
hyderabad,Nallakunta,1905,3.0,146.0
hyderabad,Nallakunta,1460,3.0,112.0
